Entity_Type,Entity,Country,Symbol,Market_Cap,BTC_Percent_Of_Market_Cap,Purchases_Or_Filings,Link,Cost_Basis_USD,Todays_Value,NgU,Bitcoin,Fraction_Of_Total_BTC_Supply,Latest_Purchase_Date
Pub. Trad.,Mode Global Holdings,UK,LON:MODE,Not on G.F. ◥,-,2020 Ann,,"✓$975,089","$5,312,838",5.4⨉,₿ 85,0.00%,
Pub. Trad.,Neptune Dash Technologies,CA,TSXV:DASH,Not on G.F. ◥,-,Q3 2020,,"? $5,131,593","$5,131,593",1⨉,₿ 82,0.00%,
Pub. Trad.,BTCS Inc.,US,OTCQB:BTCS,Not on G.F. ◥,-,Filling,,"? $4,914,689","$4,914,689",1⨉,₿ 79,0.00%,
Pub. Trad.,FRMO Corp.,US,OTCMKTS:FRMO,"$629,382,762",0.60%,"March 21, 2020",,"? $3,932,552","$3,932,552",1⨉,₿ 63,0.00%,
Pub. Trad.,MOGO Financing,CA,NADQ:MOGO,"$592,001,422",0.50%,ann,,"? $1,500,000","$2,937,805",2.0⨉,₿ 50,0.00%,
Pub. Trad.,BlackRock,US,NYSE:BLK,"$123,381,528,503",0.00%,ann,,"✓$360,000","$366,971",1.0⨉,₿ 6.15,0.00%,
Pub. Trad.,Net Holding Anonim Sirketi,TR,IST:NETHL,Not on G.F.◥,-,Report December 2020,,"✓$79,800","$166,286",2.1⨉,₿ 2.80,0.00%,
Priv.,MTGOX K.K.,JP,private,private,-,Report,,"✓$68,576,024","$8,866,766,554",129⨉,"₿ 141,686",0.68%,
Priv.,Block.one,US,private,private,-,Profile,,"? $8,761,256,000","$8,761,256,000",1⨉,"₿ 140,000",0.67%,
Priv.,The Tezos Foundation,CH,private,private,-,Sep. 2020,,"? $1,552,494,563","$1,552,494,563",1⨉,"₿ 24,808",0.12%,
Priv.,Stone Ridge Holdings Group,US,private,private,80%,Oct 2020 Ann. BTC @ NYDIG,,"? $115,000,000","$555,230,110",4.8⨉,"₿ 10,889",0.05%,
Gov,Ukraine (various),UA,gov,gov,-,Reporting,,"? $2,900,664,120","$2,900,664,120",1⨉,"₿ 46,351",0.22%,
ETF Like,Grayscale Bitcoin Trust,US,OTCQX:GBTC,"$36,124,949,949",113%,Info on AUM and Reports OCT 9th,,"$40,982,976,693","$40,982,976,693",1.0⨉,"₿ 654,885",3.12%,
ETF Like,CoinShares / XBT Provider,EU,COINXBT:SS,Not on G.F.,-,Info on NAV and Reports OCT 9th,,"$770,170,932","$4,363,731,292",5.7⨉,"₿ 69,730",0.33%,
ETF Like,Ruffer Investment Company Ltd,UK,LON:RICA,Not on G.F. ◥,-,11/1/2020 £550M,,"$744,260,000","$2,816,118,000",3.8⨉,"₿ 45,000",0.21%,
ETF Like,3iQ The Bitcoin Fund,CA,TSX:QBTC.U,"$1,422,122,000",104%,Info on NAV and Reports OCT 9th,,"$1,474,612,837","$1,474,612,837",1⨉,"₿ 23,563",0.11%,
ETF Like,ETC Group Bitcoin ETP,DE,BTCE:GR,Not on G.F.,-,Info on NAV and Reports SEP 4th,,"$1,197,742,365","$1,197,742,365",1⨉,"₿ 19,139",0.09%,
ETF Like,Purpose Bitcoin ETF,CA,TSX:BTCC(U/B),Not on G.F.,-,ETF Info,,"$917,428,007","$917,428,007",1⨉,"₿ 14,660",0.07%,
ETF Like,Bitwise 10 Crypto Index Fund,US,OTCQX:BITW,Not on G.F.,-,Info on AUM and Reports,,"$854,199,476","$854,199,476",1⨉,"₿ 13,650",0.07%,
ETF Like,21Shares AG,CH,multiple,Not on G.F.,-,"ABBA.SW, ABTC.SW, HODL.SW, KEYS.SW, MOON.SW",,"$486,210,593","$486,210,593",1⨉,"₿ 7,769",0.04%,
ETF Like,Grayscale Digital Large Cap Fund,US,OTCMKTS:GDLC,Not on G.F.,-,Info on AUM,,"$461,154,968","$461,154,968",1⨉,"₿ 7,369",0.04%,
ETF Like,WisdomTree Bitcoin,CH,BTCW:SW,Not on G.F.,-,Info on ETP,,"$356,698,176","$356,698,176",1⨉,"₿ 5,700",0.03%,
ETF Like,Ninepoint Bitcoin Trust,CA,TSX:BITC.U,Not on G.F.,-,Info on the trust,,"$152,106,094","$308,165,026",2.0⨉,"₿ 4,924",0.02%,
ETF Like,CI Galaxy Bitcoin Fund,CA,TSX:BTCG.U,Not on G.F.,-,info on ETF,,"$177,659,497","$177,659,497",1⨉,"₿ 2,839",0.01%,
ETF Like,VanEck Vectors Bitcoin ETN,US,XETRA:VBTC,Not on G.F.,-,Info on ETN,,"$177,290,769","$177,290,769",1⨉,"₿ 2,833",0.01%,
ETF Like,Leonteq Bitcoin Tracker USD,CH,UBTCTQ,Not on G.F.◥,-,info on this AUM,,"$106,790,272","$106,790,272",1⨉,"₿ 2,174",0.01%,
ETF Like,Osprey Bitcoin Trust,US,OBTC,Not on G.F.◥,-,info on this AUM,,"$81,564,835","$81,564,835",1⨉,"₿ 1,639",0.01%,
ETF Like,Evolve Bitcoin ETF,CA,TSX: EBIT,Not on G.F.◥,-,ETF Info,,"$81,989,000","$81,989,000",1⨉,"₿ 1,310",0.01%,
